"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"FMNL3"	7.48851485181795e-55	0.528505509569932	0.262	0.153	1.58644187135763e-50	"0"	"FMNL3"
"PPP1R16B"	4.35793492927693e-54	0.447893607815114	0.286	0.182	9.23228514767318e-50	"0"	"PPP1R16B"
"IVNS1ABP"	4.09398760687245e-52	0.320695785761861	0.44	0.338	8.67311274515929e-48	"0"	"IVNS1ABP"
"NFATC2"	2.28753135481095e-51	0.382654166141613	0.309	0.213	4.846135175167e-47	"0"	"NFATC2"
"PTK2B"	3.37847819983598e-51	0.274305072466156	0.478	0.355	7.15730606635253e-47	"0"	"PTK2B"
"ACTN4"	4.79247343831056e-50	0.389564305308913	0.376	0.272	1.01528549790609e-45	"0"	"ACTN4"
"HOPX"	6.90872937433387e-48	0.251851106228878	0.309	0.201	1.46361431795263e-43	"0"	"HOPX"
"APOBEC3D"	1.66098459758031e-47	0.341646835779826	0.271	0.188	3.5187958699739e-43	"0"	"APOBEC3D"
"YARS"	3.6393451467341e-46	0.264939495972463	0.347	0.258	7.70995269335619e-42	"0"	"YARS"
"NEDD9"	6.83033688385439e-46	0.283322577363425	0.32	0.231	1.44700686884455e-41	"0"	"NEDD9"
"SLA2"	2.78824403786053e-45	0.393162460533859	0.318	0.214	5.90689499420754e-41	"0"	"SLA2"
"ATXN1"	3.20947721599514e-45	0.26474163543256	0.333	0.235	6.79927748208571e-41	"0"	"ATXN1"
"HLA-DRA"	3.71342111370364e-45	0.298318510681466	0.373	0.252	7.86688262938115e-41	"0"	"HLA-DRA"
"SENP7"	6.35181743977302e-45	0.296894527950475	0.361	0.275	1.34563252461591e-40	"0"	"SENP7"
"MAP4"	8.20740413624827e-45	0.270200745436513	0.421	0.314	1.7387385662642e-40	"0"	"MAP4"
"SEL1L3"	1.09328894778387e-44	0.32093228534133	0.273	0.177	2.31613263588014e-40	"0"	"SEL1L3"
"ANTXR2"	2.39332236697484e-43	0.298599495268702	0.268	0.182	5.07025343443619e-39	"0"	"ANTXR2"
