"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"85"	0	2.58709830811118	0.662	0.06	0	"4"	"TNFRSF9"
"86"	0	2.37459786701673	0.59	0.036	0	"4"	"LAYN"
"87"	0	2.36918766610051	0.909	0.113	0	"4"	"FOXP3"
"88"	1.03766231873128e-300	3.06114726186658	0.511	0.035	2.19828762223223e-296	"4"	"SDC4"
"89"	5.97213608957353e-279	2.46612620703036	0.708	0.282	1.26519703057615e-274	"4"	"MIR4632"
"90"	4.69065684848376e-274	4.54412440868925	0.255	0.005	9.93715653351285e-270	"4"	"CD177"
"91"	2.35881938668919e-247	3.67531715799923	0.312	0.011	4.99715887070106e-243	"4"	"EBI3"
"92"	2.51009574258621e-228	2.60395362546802	0.485	0.034	5.31763783066889e-224	"4"	"VDR"
"93"	1.40715984772702e-183	3.02564169443986	0.406	0.014	2.98106813740969e-179	"4"	"IL1R1"
"94"	3.96462249656164e-123	2.42024774860142	0.34	0.021	8.39905275896584e-119	"4"	"LAPTM4B"
"95"	1.58013715911163e-103	2.84214986435531	0.29	0.011	3.347520571578e-99	"4"	"CLEC7A"
"96"	3.22632844787177e-71	3.08565593613424	0.303	0.044	6.83497681681635e-67	"4"	"CD83"
"97"	6.17450064898316e-54	2.38118762390702	0.257	0.019	1.30806796248708e-49	"4"	"COL9A2"
"98"	3.57002711805005e-51	3.37427911662778	0.273	0.023	7.56310244958903e-47	"4"	"ZBTB32"
"99"	8.66235222938162e-42	2.69213786898967	0.253	0.018	1.8351193197945e-37	"4"	"SOX4"
"100"	2.30700074147897e-41	2.39873749907536	0.279	0.043	4.88738107082319e-37	"4"	"MAP1LC3A"
"101"	3.18650334800021e-96	2.86346975217293	0.505	0.228	6.75060734273845e-92	"5"	"RPL18A"
"102"	1.06948376071645e-81	2.21731577623084	0.677	0.413	2.2657013470778e-77	"5"	"RPSAP58"
"103"	3.69584443842612e-68	2.55261237610349	0.28	0.136	7.82964644280574e-64	"5"	"RPL13AP20"
