"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"FAR2"	9.11609819801737e-32	1.07488389963994	1	1	1.11653970729317e-27	"0"	"FAR2"
"LUZP1"	1.41513954072239e-31	0.831082140258911	1	1	1.73326290947678e-27	"0"	"LUZP1"
"PLK3"	1.80190786878524e-31	0.609345979690243	1	1	2.20697675768816e-27	"0"	"PLK3"
"AFAP1"	2.01118510438979e-31	0.890779692630449	1	1	2.46329951585662e-27	"0"	"AFAP1"
"ADARB1"	2.27500740111396e-31	0.499017973061743	1	1	2.78642906488438e-27	"0"	"ADARB1"
"KIAA0513"	2.42389807988293e-31	0.747995178245631	1	1	2.96879036824061e-27	"0"	"KIAA0513"
"LCP2"	3.20085896073329e-31	0.622476750709502	1	1	3.92041205510613e-27	"0"	"LCP2"
"STK17B"	4.28100529399742e-31	0.431729944906555	1	1	5.24337528408804e-27	"0"	"STK17B"
"IL6ST"	4.52452373412099e-31	0.466081272434526	1	1	5.54163666955139e-27	"0"	"IL6ST"
"HNRNPUL1"	4.7808329332532e-31	0.488304030217275	1	1	5.85556417664852e-27	"0"	"HNRNPUL1"
"ZFP36L2"	5.66931234104983e-31	0.528383997080736	1	1	6.94377375531783e-27	"0"	"ZFP36L2"
"FMNL3"	5.88360829072003e-31	0.866369454168531	1	1	7.20624343447389e-27	"0"	"FMNL3"
"TCTEX1D4"	7.01615757140622e-31	0.658770684268266	1	1	8.59338979345834e-27	"0"	"TCTEX1D4"
"PTPN7"	7.28869926754875e-31	0.517206567420416	1	1	8.92719886289371e-27	"0"	"PTPN7"
